gvkey,fyr,acctstdq,bsprq,compstq,curcdq,datacqtr,datafqtr,fqtr,fyearq,pdq,pdsa,pdytd,rp,scfq,srcq,staltq,updq,datadate,fdateq,pdateq,accdq,accoq,acoq,acoxq,actq,adpacq,amq,ancq,aoq,aotq,apoq,apq,artfsq,atq,autxrq,bcefq,bctq,bdiq,capcstq,capr1q,capr2q,capr3q,capsq,caq,ceqq,cfbdq,cfereq,cfoq,cfpdoq,cheq,chq,chsq,cltq,cogsq,cstkq,dfpacq,dfxaq,ditq,dlcq,dlttq,dpactq,dpq,dptbq,dptcq,dvpdpq,dvrreq,dvtq,eqrtq,eroq,esubq,fcaq,feaq,felq,gdwlamq,gdwlq,gpq,iatiq,ibkiq,ibmiiq,ibq,iditq,iireq,iitq,intanq,intcq,invtq,iobdq,ioiq,ioreq,ipq,iptiq,isgtq,istq,ivaeqq,ivaoq,iviq,ivptq,ivstq,ivtfsq,lcabgq,lcacuq,lcoq,lcoxq,lctq,lltq,loq,lseq,lsq,ltmibq,ltq,mibnq,mibq,mibtq,miiq,mtlq,nitq,nopioq,nopiq,oiadpq,oibdpq,oproq,pclq,piq,ppentq,prcq,pstkq,ptranq,pvoq,pvtq,ratiq,rawmsmq,reccoq,rectoq,rectq,rectrq,reitq,req,revtq,risq,rltq,rvlrvq,rvtiq,rvutxq,saaq,saleq,salq,sbdcq,scoq,scq,sctq,seqq,spiq,ssnpq,stkchq,tdsgq,tdstq,teqq,transaq,tstkq,txdbq,txtq,unnpq,xagtq,xbdtq,xcomiq,xcomq,xdvreq,xintq,xioq,xiq,xiviq,xivreq,xobdq,xoiq,xoproq,xoprq,xoreq,xppq,xretq,xsgaq,xsq,xstoq,xstq,xtq,accliy,acqdisny,acqdisoy,adpacy,amy,aolochy,apalchy,apchy,aqcy,asdisy,asinvy,atochy,autxry,bcefy,bcty,bdiy,capcsty,capfly,capxfiy,capxy,cfbdy,cferey,cflaothy,cfoy,cfpdoy,chechy,chenfdy,cogsy,dcsfdy,dcufdy,dfxay,dispochy,dity,dlcchy,dltisy,dltry,docy,dpcy,dpy,dvpdpy,dvrecy,dvrrey,dvty,dvy,eieacy,eqdivpy,esuby,exresy,exreuy,exrey,fcay,fiaoy,fincfy,finincy,finley,finrey,finvaoy,fopoy,fsrcopoy,fsrcopty,fsrcoy,fsrcty,fuseoy,fusety,gdwlamy,gpy,ibcy,ibkiy,ibmiiy,iby,idity,iirey,iity,intandy,intanpy,intcy,intfacty,intfly,intiacty,intoacty,intpdy,intrcy,invchy,invdspy,invsvcy,iobdy,ioiy,iorey,iptiy,isgty,ivacoy,ivchy,iviy,ivncfy,ivstchy,liqresny,liqresoy,lndepy,lnincy,lnmdy,lnrepy,ltdchy,ltdlchy,ltloy,micy,miiy,miseqy,ncfliqy,neqmiy,nity,noasuby,nopioy,nopiy,oancfcy,oancfdy,oancfy,oiadpy,oibdpy,opprfty,oproy,pcly,piy,pliachy,prosaiy,prstkcy,prvy,psfixy,ptrany,purtshry,pvoy,rawmsmy,recchy,reity,revty,risy,rvy,saley,shrcapy,sivy,spiy,sppchy,sppivy,sstky,stfixay,stinvy,stkchy,subdisy,subpury,tdsgy,txdcy,txopy,txty,txy,wcapchcy,wcapchy,wcapopcy,wcapsay,wcapsuy,wcapsy,wcapty,wcapuy,xagty,xbdty,xcomiy,xcomy,xdvrey,xidocy,xinty,xioy,xiviy,xivrey,xiy,xobdy,xoiy,xoproy,xopry,xorey,xrety,xsgay,xstoy,xsty,xsy,xty,exchg,ISIN,SEDOL,conm,fic,add1,add2,add3,add4,addzip,busdesc,cik,city,conml,county,dlrsn,ein,fax,fyrc,ggroup,gind,gsector,gsubind,idbflag,incorp,loc,naics,phone,prican,prirow,priusa,sic,spcindcd,spcseccd,spcsrc,state,stko,weburl,dldte,ipodate
015579,3,DS,GB,,JPY,2010Q1,2009Q4,4,2009,,,12,SA,,5,,3,2010-03-31,2010-08-04,2010-05-17,,358400.0000,,,,,,,278569.0000,641808.0000,,,,11984313.0000,,,,,,,,12200.0000,177244.0000,358400.0000,,,,,,1037167.0000,731175.0000,,,,215628.0000,,,,,187468.0000,,,,10477685.0000,,,,320425.0000,,,,4839.0000,85.0000,,1807.0000,,,,,,,,,,,,,,,,,,1741692.0000,,,,,305992.0000,1784084.0000,,8391096.0000,,,,,557580.0000,11984313.0000,175391.0000,,11222733.0000,,48972.0000,48972.0000,,,,,,,,,,,130158.0000,,,,,23704.0000,,,,,,,,,,,,,,,,,,,,,215628.0000,712608.0000,,,,,42392.0000,,,689.0000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,648.0000,,,,,,,,,,,,,,,,,,,51019.0000,10419.0000,,,,,,11172.0000,,,,,,,,11820.0000,,,,13598.0000,,,,,,,,,,,,,,,,,,,,,,648.0000,,,,32619.0000,30946.0000,197277.0000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1672.0000,,,,0.0000,,,,,,,,,,,35241.0000,52857.0000,,,,,,,,,,,,263805.0000,14202.0000,,,,,0.0000,,,,,,,,,1307.0000,,,20238.0000,,,,,,,,,,118377.0000,,,,,,17898.0000,,,,0.0000,,,,,,,,,,29013.0000,210948.0000,264,JP3305990008,BD97JW7,CONCORDIA FINANCIAL GROUP,JPN,"Tokyo Nihombashi Tower, 34th floor, 7-1, Nihonbashi 2-chome,",,,,103-6034,"Concordia Financial Group, Ltd. provides various banking products and services to small and medium-sized businesses and individuals.",0001622143,Tokyo,Concordia Financial Group Ltd,,,,,3,4010,401010,40,40101015,B,,JPN,522110,81 3 5200 8201,,01W,90,6020,810,800,,,3,www.concordia-fg.jp,,1961-09-01
015579,3,DS,GB,,JPY,2010Q3,2010Q2,2,2010,,6,6,SA,,5,,3,2010-09-30,2010-11-12,,,338493.0000,,,,,,,300072.0000,644368.0000,,,,12076583.0000,,,,,,,,12150.0000,177244.0000,338493.0000,,,,,,889202.0000,588394.0000,,,,215628.0000,,,,,347160.0000,,,,10387639.0000,,,,330445.0000,,,,5803.0000,26.0000,,,,,,,,,,,,,,,,,,,,1813210.0000,,,,,300808.0000,1906203.0000,,8508474.0000,,,,,569006.0000,12076583.0000,206616.0000,,11303805.0000,50113.0000,,50113.0000,,,,,,,,,,,128336.0000,,,,,23871.0000,,,,,,,,,,,,,,,,,,,,,215628.0000,722665.0000,,,,,92993.0000,772778.0000,,652.0000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,263.0000,,,,,,,,,,,,,,,,,,,25552.0000,4055.0000,,,,,,5483.0000,,,,,,,,5746.0000,,,,6799.0000,,,,,,,,,,,,,,,,,,,,,,263.0000,,,,22863.0000,21154.0000,91586.0000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1709.0000,,,,0.0000,,,,,,,,,,,8824.0000,37624.0000,,,,,,,,,,,,122915.0000,5204.0000,,,,,0.0000,,,,,,,,,573.0000,,,14761.0000,,,,,,,,,,55238.0000,,,,,,7193.0000,,,,0.0000,,,,,,,,,,9981.0000,85291.0000,264,JP3305990008,BD97JW7,CONCORDIA FINANCIAL GROUP,JPN,"Tokyo Nihombashi Tower, 34th floor, 7-1, Nihonbashi 2-chome,",,,,103-6034,"Concordia Financial Group, Ltd. provides various banking products and services to small and medium-sized businesses and individuals.",0001622143,Tokyo,Concordia Financial Group Ltd,,,,,3,4010,401010,40,40101015,B,,JPN,522110,81 3 5200 8201,,01W,90,6020,810,800,,,3,www.concordia-fg.jp,,1961-09-01
015579,3,DS,GB,,JPY,2011Q1,2010Q4,4,2010,,,12,SA,,5,,3,2011-03-31,2011-08-04,2011-05-13,,331805.0000,,,,,,,259806.0000,595559.0000,,,,12520526.0000,,,,,,,,12280.0000,177244.0000,331805.0000,,,,,,1189462.0000,857677.0000,,,,215628.0000,,,,,384147.0000,,,,10821987.0000,,,,343607.0000,,,,3948.0000,28.0000,,1281.0000,,,,,,,,,,,,,,,,,,1994647.0000,,,,,331785.0000,2095015.0000,,8513530.0000,,,,,527443.0000,12520526.0000,171779.0000,,11733577.0000,51139.0000,,51139.0000,,,,,,,,,,,126960.0000,,,,,23831.0000,,,,,,,,,,,,,,,,,,,,,215628.0000,735810.0000,,,,,100368.0000,786949.0000,,669.0000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,526.0000,,,,,,,,,,,,,,,,,,,52171.0000,10423.0000,,,,,,11006.0000,,,,,,,,11532.0000,,,,13599.0000,,,,,,,,,,,,,,,,,,,,,,526.0000,,,,50464.0000,47089.0000,182383.0000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3375.0000,,,,0.0000,,,,,,,,,,,14266.0000,83787.0000,,,,,,,,,,,,254346.0000,18558.0000,,,,,0.0000,,,,,,,,,1234.0000,,,33323.0000,,,,,,,,,,113795.0000,,,,,,13545.0000,,,,0.0000,,,,,,,,,,18530.0000,170559.0000,264,JP3305990008,BD97JW7,CONCORDIA FINANCIAL GROUP,JPN,"Tokyo Nihombashi Tower, 34th floor, 7-1, Nihonbashi 2-chome,",,,,103-6034,"Concordia Financial Group, Ltd. provides various banking products and services to small and medium-sized businesses and individuals.",0001622143,Tokyo,Concordia Financial Group Ltd,,,,,3,4010,401010,40,40101015,B,,JPN,522110,81 3 5200 8201,,01W,90,6020,810,800,,,3,www.concordia-fg.jp,,1961-09-01
015579,3,DS,GB,,JPY,2011Q3,2011Q2,2,2011,,6,6,SA,,5,,3,2011-09-30,2011-11-14,,,311217.0000,,,,,,,318200.0000,633092.0000,,,,12455742.0000,,,,,,,,13570.0000,177244.0000,311217.0000,,,,,,892373.0000,657493.0000,,,,215628.0000,,,,,552479.0000,,,,10528419.0000,,,,360979.0000,,,,3675.0000,60.0000,,,,,,,,,,,,,,,,,,,,2003338.0000,,,,,234880.0000,2153512.0000,,8650256.0000,,,,,573975.0000,12455742.0000,238599.0000,,11654873.0000,52602.0000,,52602.0000,,,,,,,,,,,126509.0000,,,,,24099.0000,,,,,,,,,,,,,,,,,,,,,215628.0000,748267.0000,,,,,150174.0000,800869.0000,,5584.0000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,263.0000,,,,,,,,,,,,,,,,,,,26009.0000,5000.0000,,,,,,5170.0000,,,,,,,,5433.0000,,,,6799.0000,,,,,,,,,,,,,,,,,,,,,,263.0000,,,,27927.0000,25892.0000,89101.0000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2034.0000,,,,0.0000,,,,,,,,,,,4481.0000,45778.0000,,,,,,,,,,,,123793.0000,7761.0000,,,,,0.0000,,,,,,,,,922.0000,,,17851.0000,,,,,,,,,,54868.0000,,,,,,6411.0000,,,,0.0000,,,,,,,,,,7255.0000,78015.0000,264,JP3305990008,BD97JW7,CONCORDIA FINANCIAL GROUP,JPN,"Tokyo Nihombashi Tower, 34th floor, 7-1, Nihonbashi 2-chome,",,,,103-6034,"Concordia Financial Group, Ltd. provides various banking products and services to small and medium-sized businesses and individuals.",0001622143,Tokyo,Concordia Financial Group Ltd,,,,,3,4010,401010,40,40101015,B,,JPN,522110,81 3 5200 8201,,01W,90,6020,810,800,,,3,www.concordia-fg.jp,,1961-09-01
015579,3,DS,GB,,JPY,2012Q1,2011Q4,4,2011,,,12,SA,,5,,3,2012-03-31,2012-08-07,2012-05-11,,293484.0000,,,,,,,261845.0000,560543.0000,,,,12802131.0000,,,,,,,,13670.0000,177244.0000,293484.0000,,,,,,1084676.0000,811600.0000,,,,215628.0000,,,,,409215.0000,,,,11089041.0000,,,,391879.0000,,,,5214.0000,51.0000,,755.0000,,,,,,,,,,,,,,,,,,2113975.0000,,,,,273076.0000,2138231.0000,,8893075.0000,,,,,471109.0000,12802131.0000,155886.0000,,11969365.0000,53606.0000,,53606.0000,,,,,,,,,,,125606.0000,,,,,21688.0000,,,,,,,,,,,,,,,,,,,,,215628.0000,779160.0000,,,,,24256.0000,832766.0000,,5591.0000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,526.0000,,,,,,,,,,,,,,,,,,,54326.0000,11485.0000,,,,,,10383.0000,,,,,,,,10909.0000,,,,13534.0000,,,,,,,,,,,,,,,,,,,,,,526.0000,,,,54792.0000,51190.0000,177916.0000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3601.0000,,,,0.0000,,,,,,,,,,,7222.0000,95931.0000,,,,,,,,,,,,251657.0000,17632.0000,,,,,0.0000,,,,,,,,,1783.0000,,,41139.0000,,,,,,,,,,112942.0000,,,,,,11947.0000,,,,0.0000,,,,,,,,,,12130.0000,155726.0000,264,JP3305990008,BD97JW7,CONCORDIA FINANCIAL GROUP,JPN,"Tokyo Nihombashi Tower, 34th floor, 7-1, Nihonbashi 2-chome,",,,,103-6034,"Concordia Financial Group, Ltd. provides various banking products and services to small and medium-sized businesses and individuals.",0001622143,Tokyo,Concordia Financial Group Ltd,,,,,3,4010,401010,40,40101015,B,,JPN,522110,81 3 5200 8201,,01W,90,6020,810,800,,,3,www.concordia-fg.jp,,1961-09-01
015579,3,DS,GB,,JPY,2012Q3,2012Q2,2,2012,,6,6,SA,,5,,3,2012-09-30,2012-11-09,,,274488.0000,,,,,,,272354.0000,551193.0000,,,,12879784.0000,,,,,,,,14370.0000,177244.0000,274488.0000,,,,,,827988.0000,493943.0000,,,,215628.0000,,,,,668775.0000,,,,10863498.0000,,,,399936.0000,,,,4351.0000,134.0000,,,,,,,,,,,,,,,,,,,,2150509.0000,,,,,334045.0000,2177331.0000,,9197972.0000,,,,,505173.0000,12879784.0000,209176.0000,,12037446.0000,54931.0000,,54931.0000,,,,,,,,,,,125300.0000,,,,,21375.0000,,,,,,,,,,,,,,,,,,,,,215628.0000,787407.0000,,,,,26822.0000,842338.0000,,5401.0000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,275.0000,,,,,,,,,,,,,,,,,,,25222.0000,4724.0000,,,,,,4727.0000,,,,,,,,5002.0000,,,,6734.0000,,,,,,,,,,,,,,,,,,,,,,275.0000,,,,27599.0000,25641.0000,86473.0000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1957.0000,,,,0.0000,,,,,,,,,,,4930.0000,44265.0000,,,,,,,,,,,,118014.0000,5465.0000,,,,,0.0000,,,,,,,,,854.0000,,,16666.0000,,,,,,,,,,54720.0000,,,,,,5098.0000,,,,0.0000,,,,,,,,,,4277.0000,73749.0000,264,JP3305990008,BD97JW7,CONCORDIA FINANCIAL GROUP,JPN,"Tokyo Nihombashi Tower, 34th floor, 7-1, Nihonbashi 2-chome,",,,,103-6034,"Concordia Financial Group, Ltd. provides various banking products and services to small and medium-sized businesses and individuals.",0001622143,Tokyo,Concordia Financial Group Ltd,,,,,3,4010,401010,40,40101015,B,,JPN,522110,81 3 5200 8201,,01W,90,6020,810,800,,,3,www.concordia-fg.jp,,1961-09-01
015579,3,DS,GB,,JPY,2013Q1,2012Q4,4,2012,,,12,SA,,5,,3,2013-03-31,2013-06-25,2013-05-10,,256681.0000,,,,,,,236818.0000,499241.0000,,,,13468743.0000,,,,,,,,13990.0000,177244.0000,256681.0000,,,,,,1314397.0000,923218.0000,,,,215628.0000,,,,,577725.0000,,,,11482697.0000,,,,447439.0000,,,,5742.0000,77.0000,,917.0000,,,,,,,,,,,,,,,,,,2219630.0000,,,,,391179.0000,2254562.0000,,9275108.0000,,,,,512656.0000,13468743.0000,234075.0000,,12573078.0000,55979.0000,,55979.0000,,,,,,,,,,,125435.0000,,,,,21823.0000,,,,,,,,,,,,,,,,,,,,,215628.0000,839686.0000,,,,,34932.0000,895665.0000,,625.0000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,612.0000,,,,,,,,,,,,,,,,,,,56095.0000,11518.0000,,,,,,9533.0000,,,,,,,,10145.0000,,,,13400.0000,,,,,,,,,,,,,,,,,,,,,,612.0000,,,,58778.0000,55342.0000,173107.0000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3436.0000,,,,0.0000,,,,,,,,,,,12904.0000,94490.0000,,,,,,,,,,,,249780.0000,18542.0000,,,,,0.0000,,,,,,,,,2036.0000,,,35712.0000,,,,,,,,,,112661.0000,,,,,,10367.0000,,,,0.0000,,,,,,,,,,7840.0000,155290.0000,264,JP3305990008,BD97JW7,CONCORDIA FINANCIAL GROUP,JPN,"Tokyo Nihombashi Tower, 34th floor, 7-1, Nihonbashi 2-chome,",,,,103-6034,"Concordia Financial Group, Ltd. provides various banking products and services to small and medium-sized businesses and individuals.",0001622143,Tokyo,Concordia Financial Group Ltd,,,,,3,4010,401010,40,40101015,B,,JPN,522110,81 3 5200 8201,,01W,90,6020,810,800,,,3,www.concordia-fg.jp,,1961-09-01
015579,3,DS,GB,,JPY,2013Q3,2013Q2,2,2013,,6,6,SA,,5,,3,2013-09-30,2013-11-08,,,235039.0000,,,,,,,253935.0000,494305.0000,,,,13114857.0000,,,,,,,,14420.0000,177244.0000,235039.0000,,,,,,1156961.0000,814236.0000,,,,215628.0000,,,,,536745.0000,,,,11207856.0000,,,,476384.0000,,,,5331.0000,176.0000,,,,,,,,,,,,,,,,,,,,2044922.0000,,,,,342725.0000,2054694.0000,,9284148.0000,,,,,449999.0000,13114857.0000,193081.0000,,12194600.0000,56355.0000,,56355.0000,,,,,,,,,,,124749.0000,,,,,21703.0000,,,,,,,,,,,,,,,,,,,,,215628.0000,863902.0000,,,,,9772.0000,920257.0000,,5354.0000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,336.0000,,,,,,,,,,,,,,,,,,,30468.0000,4272.0000,,,,,,4280.0000,,,,,,,,4616.0000,,,,7850.0000,,,,,,,,,,,,,,,,,,,,,,336.0000,,,,32778.0000,31066.0000,84453.0000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1712.0000,,,,0.0000,,,,,,,,,,,6734.0000,52592.0000,,,,,,,,,,,,126395.0000,10734.0000,,,,,0.0000,,,,,,,,,740.0000,,,19814.0000,,,,,,,,,,55400.0000,,,,,,4478.0000,,,,0.0000,,,,,,,,,,2919.0000,73803.0000,264,JP3305990008,BD97JW7,CONCORDIA FINANCIAL GROUP,JPN,"Tokyo Nihombashi Tower, 34th floor, 7-1, Nihonbashi 2-chome,",,,,103-6034,"Concordia Financial Group, Ltd. provides various banking products and services to small and medium-sized businesses and individuals.",0001622143,Tokyo,Concordia Financial Group Ltd,,,,,3,4010,401010,40,40101015,B,,JPN,522110,81 3 5200 8201,,01W,90,6020,810,800,,,3,www.concordia-fg.jp,,1961-09-01
015579,3,DS,GB,,JPY,2014Q1,2013Q4,4,2013,,,12,SA,,5,,3,2014-03-31,2014-07-22,2014-05-12,,222377.0000,,,,,,,212169.0000,439647.0000,,,,13832063.0000,,,,,,,,13370.0000,177244.0000,222377.0000,,,,,,1832265.0000,1423159.0000,,,,215628.0000,,,,,604953.0000,,,,11878831.0000,,,,476170.0000,,,,5101.0000,59.0000,,751.0000,,,,,,,,,,,,,,,,,,2044741.0000,,,,,409106.0000,2054786.0000,,9381488.0000,,,,,426772.0000,13832063.0000,182377.0000,,12910556.0000,58050.0000,,58050.0000,,,,,,,,,,,123877.0000,,,,,21959.0000,,,,,,,,,,,,,,,,,,,,,215628.0000,863457.0000,,,,,10045.0000,921507.0000,,5585.0000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,413.0000,,,,,,,,,,,,,,,,,,,62740.0000,11225.0000,,,,,,8901.0000,,,,,,,,9314.0000,,,,15001.0000,,,,,,,,,,,,,,,,,,,,,,413.0000,,,,64492.0000,60690.0000,167959.0000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3801.0000,,,,0.0000,,,,,,,,,,,11641.0000,104963.0000,,,,,,,,,,,,255513.0000,23306.0000,,,,,0.0000,,,,,,,,,1508.0000,,,40471.0000,,,,,,,,,,114211.0000,,,,,,8613.0000,,,,0.0000,,,,,,,,,,4860.0000,150550.0000,264,JP3305990008,BD97JW7,CONCORDIA FINANCIAL GROUP,JPN,"Tokyo Nihombashi Tower, 34th floor, 7-1, Nihonbashi 2-chome,",,,,103-6034,"Concordia Financial Group, Ltd. provides various banking products and services to small and medium-sized businesses and individuals.",0001622143,Tokyo,Concordia Financial Group Ltd,,,,,3,4010,401010,40,40101015,B,,JPN,522110,81 3 5200 8201,,01W,90,6020,810,800,,,3,www.concordia-fg.jp,,1961-09-01
015579,3,DS,GB,,JPY,2014Q3,2014Q2,2,2014,,6,6,SA,,5,,3,2014-09-30,2014-11-10,,,210794.0000,,,,,,,233615.0000,450201.0000,,,,13685060.0000,,,,,,,,13190.0000,177244.0000,210794.0000,,,,,,1304932.0000,927681.0000,,,,215628.0000,,,,,706058.0000,,,,11584667.0000,,,,517638.0000,,,,5792.0000,94.0000,,,,,,,,,,,,,,,,,,,,2235357.0000,,,,,377251.0000,2245867.0000,,9558404.0000,,,,,441081.0000,13685060.0000,208139.0000,,12731806.0000,58310.0000,,58310.0000,,,,,,,,,,,125656.0000,,,,,22054.0000,,,,,,,,,,,,,,,,,,,,,215628.0000,894944.0000,,,,,10510.0000,953254.0000,,15566.0000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,102.0000,,,,,,,,,,,,,,,,,,,32315.0000,4579.0000,,,,,,4394.0000,,,,,,,,4496.0000,,,,8327.0000,,,,,,,,,,,,,,,,,,,,,,102.0000,,,,37464.0000,35082.0000,82227.0000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2381.0000,,,,0.0000,,,,,,,,,,,,57136.0000,,,,,,,,,,,,122612.0000,7084.0000,,,,,0.0000,,,,,,,,,986.0000,,,19672.0000,,,,,,,,,,56714.0000,,,,,,4081.0000,,,,0.0000,,,,,,,,,,102.0000,65476.0000,264,JP3305990008,BD97JW7,CONCORDIA FINANCIAL GROUP,JPN,"Tokyo Nihombashi Tower, 34th floor, 7-1, Nihonbashi 2-chome,",,,,103-6034,"Concordia Financial Group, Ltd. provides various banking products and services to small and medium-sized businesses and individuals.",0001622143,Tokyo,Concordia Financial Group Ltd,,,,,3,4010,401010,40,40101015,B,,JPN,522110,81 3 5200 8201,,01W,90,6020,810,800,,,3,www.concordia-fg.jp,,1961-09-01
