Ticker,Name,Sector,Asset Class,Market Value,Weight (%),Notional Value,Quantity,Price,Location,Exchange,Currency,FX Rate,Accrual Date
AAPL,APPLE INC,Information Technology,Equity,"12,130,640,855.97",11.76,"12,130,640,855.97","51,635,129.00",234.93,United States,NASDAQ,USD,1,--
NVDA,NVIDIA CORP,Information Technology,Equity,"11,249,884,008.18",10.9,"11,249,884,008.18","83,123,127.00",135.34,United States,NASDAQ,USD,1,--
MSFT,MICROSOFT CORP,Information Technology,Equity,"11,173,683,959.47",10.83,"11,173,683,959.47","26,415,953.00",422.99,United States,NASDAQ,USD,1,--
AMZN,AMAZON COM INC,Consumer Discretionary,Equity,"6,788,811,215.34",6.58,"6,788,811,215.34","32,997,041.00",205.74,United States,NASDAQ,USD,1,--
META,META PLATFORMS INC CLASS A,Communication,Equity,"4,429,909,424.80",4.29,"4,429,909,424.80","7,782,694.00",569.2,United States,NASDAQ,USD,1,--
GOOGL,ALPHABET INC CLASS A,Communication,Equity,"3,533,221,170.60",3.42,"3,533,221,170.60","20,878,220.00",169.23,United States,NASDAQ,USD,1,--
TSLA,TESLA INC,Consumer Discretionary,Equity,"3,286,250,133.20",3.19,"3,286,250,133.20","9,871,880.00",332.89,United States,NASDAQ,USD,1,--
GOOG,ALPHABET INC CLASS C,Communication,Equity,"2,988,493,508.52",2.9,"2,988,493,508.52","17,494,986.00",170.82,United States,NASDAQ,USD,1,--
AVGO,BROADCOM INC,Information Technology,Equity,"2,578,858,750.93",2.5,"2,578,858,750.93","16,151,179.00",159.67,United States,NASDAQ,USD,1,--
LLY,ELI LILLY,Health Care,Equity,"2,241,263,980.02",2.17,"2,241,263,980.02","2,843,558.00",788.19,United States,New York Stock Exchange Inc.,USD,1,--
V,VISA INC CLASS A,Financials,Equity,"1,761,141,763.20",1.71,"1,761,141,763.20","5,596,256.00",314.7,United States,New York Stock Exchange Inc.,USD,1,--
MA,MASTERCARD INC CLASS A,Financials,Equity,"1,562,650,826.46",1.51,"1,562,650,826.46","2,935,217.00",532.38,United States,New York Stock Exchange Inc.,USD,1,--
COST,COSTCO WHOLESALE CORP,Consumer Staples,Equity,"1,514,120,092.30",1.47,"1,514,120,092.30","1,574,666.00",961.55,United States,NASDAQ,USD,1,--
NFLX,NETFLIX INC,Communication,Equity,"1,333,359,398.50",1.29,"1,333,359,398.50","1,519,775.00",877.34,United States,NASDAQ,USD,1,--
HD,HOME DEPOT INC,Consumer Discretionary,Equity,"1,201,042,121.86",1.16,"1,201,042,121.86","2,811,494.00",427.19,United States,New York Stock Exchange Inc.,USD,1,--
ORCL,ORACLE CORP,Information Technology,Equity,"1,019,275,809.30",0.99,"1,019,275,809.30","5,578,959.00",182.7,United States,New York Stock Exchange Inc.,USD,1,--
CRM,SALESFORCE INC,Information Technology,Equity,"932,015,562.04",0.9,"932,015,562.04","2,824,204.00",330.01,United States,New York Stock Exchange Inc.,USD,1,--
MRK,MERCK & CO INC,Health Care,Equity,"928,758,942.08",0.9,"928,758,942.08","9,006,584.00",103.12,United States,New York Stock Exchange Inc.,USD,1,--
ADBE,ADOBE INC,Information Technology,Equity,"808,926,312.56",0.78,"808,926,312.56","1,574,767.00",513.68,United States,NASDAQ,USD,1,--
NOW,SERVICENOW INC,Information Technology,Equity,"759,452,405.40",0.74,"759,452,405.40","729,261.00","1,041.40",United States,New York Stock Exchange Inc.,USD,1,--
ISRG,INTUITIVE SURGICAL INC,Health Care,Equity,"675,772,001.45",0.66,"675,772,001.45","1,254,799.00",538.55,United States,NASDAQ,USD,1,--
